"gene_type" "gene_name"
"1757551" "lncRNA" "AC078878.2"
"1757575" "lncRNA" "LINC02405"
"1757655" "lncRNA" "AC079949.3"
"1757662" "lncRNA" "AC079949.1"
"1757681" "lncRNA" "AC079949.5"
"1757686" "lncRNA" "AC079949.2"
"1757689" "lncRNA" "AC079949.6"
"1757693" "lncRNA" "LINC02376"
"1757704" "lncRNA" "LINC02375"
"1757717" "lncRNA" "AC068787.4"
"1757721" "lncRNA" "AC068787.3"
"1757725" "lncRNA" "AC068787.2"
"1757733" "lncRNA" "AC068787.5"
"1757738" "lncRNA" "AC025252.1"
"1757742" "lncRNA" "LINC02411"
"1757815" "lncRNA" "AC025160.1"
"1757837" "lncRNA" "LINC02393"
"1757849" "lncRNA" "LINC00507"
"1757967" "lncRNA" "LINC00508"
"1757976" "lncRNA" "LINC02441"
"1757981" "lncRNA" "AC140121.1"
"1757986" "lncRNA" "LINC02369"
"1758045" "lncRNA" "LINC02368"
"1758071" "lncRNA" "AC061709.2"
"1758084" "protein_coding" "TMEM132C"
"1758107" "lncRNA" "AC023595.1"
"1758111" "protein_coding" "SLC15A4"
"1758186" "lncRNA" "AC108704.1"
"1758189" "protein_coding" "GLT1D1"
"1758340" "protein_coding" "TMEM132D"
"1758377" "lncRNA" "TMEM132D-AS1"
"1758405" "lncRNA" "TMEM132D-AS2"
"1758412" "lncRNA" "AC130404.1"
"1758416" "lncRNA" "AC130404.2"
"1758420" "lncRNA" "AC117373.1"
"1758425" "lncRNA" "AC117373.2"
"1758429" "lncRNA" "AC055717.1"
"1758433" "lncRNA" "AC055717.2"
"1758438" "lncRNA" "LINC02418"
"1758450" "lncRNA" "AC135388.1"
"1758454" "lncRNA" "LINC02419"
"1758458" "lncRNA" "AC026336.3"
"1758461" "lncRNA" "FZD10-AS1"
"1758479" "protein_coding" "FZD10"
"1758494" "lncRNA" "AC026336.2"
"1758498" "protein_coding" "PIWIL1"
"1758619" "protein_coding" "RIMBP2"
"1758829" "lncRNA" "AC063926.1"
"1758833" "lncRNA" "AC095350.1"
"1758858" "protein_coding" "STX2"
"1758934" "lncRNA" "AC073912.1"
"1758938" "lncRNA" "AC073912.2"
"1758942" "protein_coding" "RAN"
"1759091" "protein_coding" "ADGRD1"
"1759370" "lncRNA" "AC073862.1"
"1759374" "lncRNA" "ADGRD1-AS1"
"1759382" "lncRNA" "AC078925.1"
"1759386" "lncRNA" "LINC01257"
"1759417" "lncRNA" "LINC02415"
"1759421" "lncRNA" "AC092850.2"
"1759425" "lncRNA" "LINC02370"
"1759430" "lncRNA" "AC140118.2"
"1759435" "lncRNA" "AC140118.1"
"1759439" "lncRNA" "AC073578.2"
"1759446" "lncRNA" "AC073578.5"
"1759450" "lncRNA" "AC073578.1"
"1759481" "lncRNA" "AC117500.3"
"1759485" "lncRNA" "LINC02414"
"1759493" "lncRNA" "AC117500.6"
"1759497" "lncRNA" "AC117500.1"
"1759501" "protein_coding" "SFSWAP"
"1759673" "lncRNA" "AC117500.2"
"1759677" "protein_coding" "MMP17"
"1759809" "lncRNA" "AC131009.2"
"1759814" "protein_coding" "ULK1"
"1759908" "lncRNA" "AC131009.1"
"1759913" "protein_coding" "PUS1"
"1760042" "lncRNA" "AC131009.3"
"1760045" "protein_coding" "EP400"
"1760360" "lncRNA" "AC137590.1"
"1760364" "lncRNA" "AC137590.2"
"1760367" "protein_coding" "DDX51"
"1760438" "protein_coding" "NOC4L"
"1760510" "lncRNA" "AC138466.3"
"1760513" "lncRNA" "LINC02361"
"1760517" "lncRNA" "AC138466.1"
"1760521" "protein_coding" "GALNT9"
"1760640" "lncRNA" "AC148477.3"
"1760648" "lncRNA" "AC148477.2"
"1760652" "lncRNA" "AC148477.4"
"1760655" "lncRNA" "AC148477.1"
"1760659" "lncRNA" "AC148477.10"
"1760663" "lncRNA" "AC148476.1"
"1760666" "lncRNA" "AC079031.1"
"1760670" "lncRNA" "AC079031.2"
"1760673" "protein_coding" "FBRSL1"
"1760798" "lncRNA" "AC131212.1"
"1760801" "protein_coding" "LRCOL1"
"1760872" "protein_coding" "P2RX2"
"1761070" "protein_coding" "POLE"
"1761664" "protein_coding" "PXMP2"
"1761720" "protein_coding" "PGAM5"
"1761787" "protein_coding" "ANKLE2"
"1761916" "protein_coding" "GOLGA3"
"1762137" "protein_coding" "CHFR"
"1762508" "lncRNA" "AC127070.1"
"1762512" "lncRNA" "AC127070.2"
"1762515" "protein_coding" "ZNF605"
"1762562" "protein_coding" "ZNF26"
"1762619" "lncRNA" "ZNF84-DT"
"1762629" "protein_coding" "ZNF84"
"1762789" "protein_coding" "ZNF140"
"1762925" "protein_coding" "ZNF891"
"1762948" "lncRNA" "AC026786.2"
"1762952" "protein_coding" "ZNF10"
"1763052" "protein_coding" "ZNF268"
"1763308" "protein_coding" "ANHX"
"1763353" "lncRNA" "FAM230C"
"1763379" "lncRNA" "LINC00349"
"1763388" "lncRNA" "LINC00388"
"1763392" "lncRNA" "LINC00387"
"1763396" "lncRNA" "LINC00408"
"1763449" "lncRNA" "AL355516.1"
"1763455" "lncRNA" "LINC00442"
"1763476" "lncRNA" "AL137001.1"
"1763480" "lncRNA" "AL137001.2"
"1763486" "protein_coding" "TUBA3C"
"1763519" "lncRNA" "AL139327.2"
"1763542" "lncRNA" "LINC00421"
"1763546" "lncRNA" "AL356259.1"
"1763550" "protein_coding" "TPTE2"
"1763796" "lncRNA" "LINC00350"
"1763812" "protein_coding" "MPHOSPH8"
"1763876" "lncRNA" "PSPC1-AS2"
"1763880" "protein_coding" "PSPC1"
"1763999" "protein_coding" "ZMYM5"
"1764077" "lncRNA" "AL355001.1"
"1764081" "lncRNA" "AL355001.2"
"1764084" "protein_coding" "ZMYM2"
"1764335" "lncRNA" "LINC01072"
"1764339" "protein_coding" "GJA3"
"1764349" "lncRNA" "LINC00556"
"1764352" "protein_coding" "GJB2"
"1764369" "protein_coding" "GJB6"
"1764536" "protein_coding" "CRYL1"
"1764756" "lncRNA" "AL590096.1"
"1764766" "protein_coding" "IFT88"
"1764941" "lncRNA" "AL161772.1"
"1764944" "protein_coding" "IL17D"
"1764972" "protein_coding" "EEF1AKMT1"
"1765006" "lncRNA" "AL512652.1"
"1765009" "protein_coding" "XPO4"
"1765121" "protein_coding" "LATS2"
"1765147" "lncRNA" "LATS2-AS1"
"1765151" "protein_coding" "SAP18"
"1765225" "protein_coding" "SKA3"
"1765326" "protein_coding" "MRPL57"
"1765336" "lncRNA" "LINC01046"
"1765348" "lncRNA" "LINC00539"
"1765433" "protein_coding" "ZDHHC20"
"1765618" "lncRNA" "ZDHHC20-IT1"
"1765622" "protein_coding" "MICU2"
"1765710" "protein_coding" "FGF9"
"1765729" "lncRNA" "LINC00424"
"1765752" "lncRNA" "AL136962.1"
"1765780" "lncRNA" "AL512484.1"
"1765784" "lncRNA" "LINC00621"
"1765812" "lncRNA" "AL157931.1"
"1765816" "lncRNA" "AL157931.2"
"1765819" "lncRNA" "LINC00362"
"1765823" "protein_coding" "SGCG"
"1765844" "protein_coding" "SACS"
"1765946" "lncRNA" "SACS-AS1"
"1765950" "lncRNA" "LINC00327"
"1765983" "lncRNA" "LINC00352"
"1765987" "protein_coding" "TNFRSF19"
"1766088" "protein_coding" "MIPEP"
"1766151" "lncRNA" "PCOTH"
"1766168" "protein_coding" "C1QTNF9B"
"1766216" "lncRNA" "AL445985.2"
"1766221" "protein_coding" "SPATA13"
"1766444" "lncRNA" "AL445985.1"
"1766451" "lncRNA" "SPATA13-AS1"
"1766456" "protein_coding" "C1QTNF9"
"1766483" "lncRNA" "C1QTNF9-AS1"
"1766487" "lncRNA" "LINC00566"
"1766491" "protein_coding" "PARP4"
"1766573" "lncRNA" "AL359538.4"
"1766577" "lncRNA" "AL359538.3"
"1766581" "protein_coding" "ATP12A"
"1766684" "lncRNA" "AL391560.1"
"1766689" "lncRNA" "AL391560.2"
"1766695" "protein_coding" "RNF17"
"1766901" "protein_coding" "CENPJ"
"1767039" "protein_coding" "PABPC3"
"1767047" "protein_coding" "AMER2"
"1767066" "lncRNA" "LINC01053"
"1767075" "lncRNA" "LINC00463"
"1767088" "lncRNA" "LINC01076"
"1767092" "protein_coding" "MTMR6"
"1767130" "lncRNA" "AL590787.1"
"1767133" "protein_coding" "NUP58"
"1767377" "protein_coding" "ATP8A2"
"1767630" "protein_coding" "SHISA2"
"1767640" "lncRNA" "LINC00415"
"1767644" "protein_coding" "RNF6"
"1767710" "lncRNA" "AL138966.2"
"1767713" "protein_coding" "CDK8"
"1767812" "lncRNA" "AL353789.1"
"1767817" "protein_coding" "WASF3"
"1767896" "lncRNA" "WASF3-AS1"
"1767930" "lncRNA" "AL159978.1"
"1767934" "protein_coding" "GPR12"
"1767951" "lncRNA" "AL160035.1"
"1767956" "protein_coding" "USP12"
"1767998" "lncRNA" "USP12-AS1"
"1768002" "lncRNA" "USP12-AS2"
"1768006" "lncRNA" "LINC02340"
"1768019" "lncRNA" "LINC00412"
"1768029" "protein_coding" "RPL21"
"1768151" "protein_coding" "RASL11A"
"1768173" "lncRNA" "LINC01079"
"1768177" "protein_coding" "GTF3A"
"1768300" "protein_coding" "MTIF3"
"1768391" "protein_coding" "LNX2"
"1768444" "protein_coding" "POLR1D"
"1768598" "lncRNA" "AL136439.1"
"1768603" "protein_coding" "GSX1"
"1768613" "lncRNA" "PLUT"
"1768620" "protein_coding" "PDX1"
"1768630" "lncRNA" "LINC00543"
"1768633" "protein_coding" "CDX2"
"1768649" "protein_coding" "URAD"
"1768659" "protein_coding" "FLT3"
"1768772" "lncRNA" "PAN3-AS1"
"1768775" "protein_coding" "PAN3"
"1768878" "protein_coding" "FLT1"
"1769176" "protein_coding" "POMP"
"1769213" "protein_coding" "SLC46A3"
"1769253" "protein_coding" "MTUS2"
"1769380" "lncRNA" "MTUS2-AS2"
"1769392" "lncRNA" "MTUS2-AS1"
"1769406" "protein_coding" "SLC7A1"
"1769451" "protein_coding" "UBL3"
"1769467" "lncRNA" "LINC00297"
"1769471" "lncRNA" "LINC00572"
"1769475" "lncRNA" "LINC00544"
"1769504" "lncRNA" "AL354674.1"
"1769507" "lncRNA" "LINC00365"
"1769517" "lncRNA" "LINC00384"
"1769525" "lncRNA" "LINC00385"
"1769530" "protein_coding" "KATNAL1"
"1769610" "lncRNA" "LINC00427"
"1769614" "lncRNA" "LINC00426"
"1769675" "lncRNA" "AL161893.1"
"1769681" "lncRNA" "LINC01058"
"1769685" "protein_coding" "UBE2L5"
"1769716" "protein_coding" "HMGB1"
"1769813" "lncRNA" "AL353648.1"
"1769819" "protein_coding" "USPL1"
"1769866" "protein_coding" "ALOX5AP"
"1769902" "lncRNA" "LINC00398"
"1769906" "lncRNA" "LINC00545"
"1769914" "lncRNA" "TEX26-AS1"
"1769993" "protein_coding" "MEDAG"
"1770020" "protein_coding" "TEX26"
"1770061" "lncRNA" "AL353680.1"
"1770066" "lncRNA" "LINC01066"
"1770070" "lncRNA" "AL158065.1"
"1770075" "protein_coding" "HSPH1"
"1770303" "protein_coding" "B3GLCT"
"1770347" "lncRNA" "AL161616.2"
"1770352" "protein_coding" "RXFP2"
"1770433" "lncRNA" "AL138708.1"
"1770437" "protein_coding" "FRY"
"1771139" "lncRNA" "FRY-AS1"
"1771145" "protein_coding" "ZAR1L"
"1771176" "protein_coding" "BRCA2"
"1771423" "protein_coding" "N4BP2L1"
"1771604" "protein_coding" "N4BP2L2"
"1771778" "lncRNA" "N4BP2L2-IT2"
"1771781" "protein_coding" "PDS5B"
"1771976" "lncRNA" "AL138820.1"
"1771979" "lncRNA" "LINC00423"
"1771985" "protein_coding" "KL"
"1772007" "protein_coding" "STARD13"
"1772148" "lncRNA" "STARD13-IT1"
"1772152" "lncRNA" "STARD13-AS"
"1772414" "lncRNA" "AL627232.1"
"1772418" "lncRNA" "LINC02344"
"1772422" "lncRNA" "AL138999.2"
"1772430" "lncRNA" "AL138999.1"
"1772433" "lncRNA" "AL139383.1"
"1772465" "lncRNA" "AL161719.1"
"1772469" "lncRNA" "AL139081.1"
"1772474" "lncRNA" "AL139081.2"
"1772478" "protein_coding" "RFC3"
"1772536" "lncRNA" "AL161891.1"
"1772539" "lncRNA" "LINC02343"
"1772549" "lncRNA" "LINC00457"
"1772565" "lncRNA" "AL161716.1"
"1772576" "lncRNA" "AL138690.1"
"1772579" "protein_coding" "NBEA"
"1773142" "protein_coding" "MAB21L1"
"1773150" "lncRNA" "AL390071.1"
"1773154" "lncRNA" "LINC00445"
"1773171" "protein_coding" "DCLK1"
"1773345" "protein_coding" "SOHLH2"
"1773392" "protein_coding" "CCDC169"
"1773579" "protein_coding" "SPART"
"1773731" "lncRNA" "SPART-AS1"
"1773753" "protein_coding" "CCNA1"
"1773846" "protein_coding" "SERTM1"
"1773856" "protein_coding" "RFXAP"
"1773873" "protein_coding" "SMAD9"
"1773930" "lncRNA" "SMAD9-IT1"
"1773934" "protein_coding" "ALG5"
"1773997" "protein_coding" "EXOSC8"
"1774123" "protein_coding" "SUPT20H"
"1774715" "protein_coding" "CSNK1A1L"
"1774723" "lncRNA" "LINC01048"
"1774729" "lncRNA" "LINC00547"
"1774736" "protein_coding" "POSTN"
"1775041" "protein_coding" "TRPC4"
"1775273" "lncRNA" "AL356495.1"
"1775277" "lncRNA" "LINC02334"
"1775314" "lncRNA" "LINC00571"
"1775334" "protein_coding" "UFM1"
"1775389" "lncRNA" "LINC00437"
"1775393" "lncRNA" "LINC00366"
"1775416" "protein_coding" "FREM2"
"1775475" "lncRNA" "FREM2-AS1"
"1775479" "protein_coding" "STOML3"
"1775520" "protein_coding" "PROSER1"
"1775626" "protein_coding" "NHLRC3"
"1775688" "lncRNA" "AL354809.1"
"1775724" "protein_coding" "LHFPL6"
"1775775" "protein_coding" "COG6"
"1775989" "lncRNA" "LINC00598"
"1776123" "lncRNA" "LINC00332"
"1776134" "protein_coding" "FOXO1"
"1776162" "protein_coding" "MRPS31"
"1776193" "protein_coding" "SLC25A15"
"1776242" "lncRNA" "AL590064.1"
"1776246" "protein_coding" "ELF1"
"1776342" "protein_coding" "WBP4"
"1776369" "protein_coding" "KBTBD6"
"1776377" "lncRNA" "AL354696.2"
"1776406" "protein_coding" "KBTBD7"
"1776414" "protein_coding" "MTRF1"
"1776555" "lncRNA" "AL354696.1"
"1776558" "protein_coding" "NAA16"
"1776718" "protein_coding" "RGCC"
"1776738" "protein_coding" "VWA8"
"1776902" "lncRNA" "VWA8-AS1"
"1776913" "protein_coding" "DGKH"
"1777390" "lncRNA" "AL157932.1"
"1777394" "protein_coding" "AKAP11"
"1777426" "lncRNA" "LINC02341"
"1777441" "protein_coding" "TNFSF11"
"1777524" "protein_coding" "FAM216B"
"1777551" "lncRNA" "LINC01050"
"1777558" "lncRNA" "LINC00428"
"1777562" "protein_coding" "EPSTI1"
"1777722" "protein_coding" "DNAJC15"
"1777745" "lncRNA" "LINC00400"
"1777749" "protein_coding" "ENOX1"
"1777792" "lncRNA" "ENOX1-AS2"
"1777796" "lncRNA" "ENOX1-AS1"
"1777800" "lncRNA" "AL161714.1"
"1777805" "lncRNA" "AL162713.2"
"1777810" "lncRNA" "AL162713.1"
"1777813" "protein_coding" "CCDC122"
"1777854" "lncRNA" "AL512506.1"
"1777857" "protein_coding" "LACC1"
"1777903" "lncRNA" "NRAD1"
"1777957" "lncRNA" "LINC00390"
"1777994" "lncRNA" "SMIM2-AS1"
"1778029" "protein_coding" "SMIM2"
"1778045" "lncRNA" "SMIM2-IT1"
"1778050" "lncRNA" "AL589745.2"
"1778054" "lncRNA" "AL589745.1"
"1778063" "lncRNA" "AL138960.1"
"1778066" "protein_coding" "SERP2"
"1778113" "lncRNA" "TUSC8"
"1778124" "protein_coding" "TSC22D1"
"1778220" "lncRNA" "TSC22D1-AS1"
"1778231" "lncRNA" "LINC00407"
"1778236" "lncRNA" "AL356515.1"
"1778240" "lncRNA" "LINC00330"
"1778245" "protein_coding" "NUFIP1"
"1778271" "lncRNA" "AL359706.1"
"1778276" "protein_coding" "GPALPP1"
"1778378" "protein_coding" "GTF2F2"
"1778409" "protein_coding" "KCTD4"
"1778417" "protein_coding" "TPT1"
"1778562" "lncRNA" "AL138963.4"
"1778566" "lncRNA" "TPT1-AS1"
"1778997" "lncRNA" "AL138963.1"
"1779001" "protein_coding" "SLC25A30"
"1779134" "lncRNA" "SLC25A30-AS1"
"1779138" "protein_coding" "COG3"
"1779252" "protein_coding" "ERICH6B"
"1779307" "lncRNA" "LINC01055"
"1779313" "protein_coding" "SPERT"
"1779352" "protein_coding" "SIAH3"
"1779362" "protein_coding" "ZC3H13"
"1779472" "lncRNA" "CPB2-AS1"
"1779561" "protein_coding" "CPB2"
"1779614" "protein_coding" "LCP1"
"1779744" "protein_coding" "LRRC63"
"1779813" "lncRNA" "AL139801.1"
"1779818" "lncRNA" "LINC00563"
"1779821" "protein_coding" "RUBCNL"
"1780151" "lncRNA" "LINC01198"
"1780514" "lncRNA" "AL138686.1"
"1780519" "protein_coding" "LRCH1"
"1780693" "lncRNA" "AL359880.1"
"1780696" "protein_coding" "ESD"
"1780782" "protein_coding" "HTR2A"
"1780823" "lncRNA" "HTR2A-AS1"
"1780834" "protein_coding" "SUCLA2"
"1781164" "lncRNA" "AL138962.1"
"1781169" "lncRNA" "LINC00562"
"1781172" "lncRNA" "AL157369.1"
"1781176" "lncRNA" "SUCLA2-AS1"
"1781180" "protein_coding" "NUDT15"
"1781192" "lncRNA" "AL158196.1"
"1781195" "protein_coding" "MED4"
"1781260" "lncRNA" "MED4-AS1"
"1781265" "protein_coding" "ITM2B"
"1781403" "lncRNA" "RB1-DT"
"1781416" "protein_coding" "RB1"
"1781583" "lncRNA" "AL392048.1"
"1781586" "protein_coding" "LPAR6"
"1781659" "protein_coding" "RCBTB2"
"1781799" "lncRNA" "AL157813.2"
"1781803" "lncRNA" "AL157813.1"
"1781806" "lncRNA" "LINC01077"
"1781810" "lncRNA" "LINC00462"
"1781814" "protein_coding" "CYSLTR2"
"1781874" "lncRNA" "AL161421.1"
"1781878" "protein_coding" "FNDC3A"
"1782137" "protein_coding" "MLNR"
"1782146" "protein_coding" "CDADC1"
"1782225" "protein_coding" "CAB39L"
"1782439" "protein_coding" "SETDB2"
"1782570" "protein_coding" "PHF11"
"1782807" "protein_coding" "RCBTB1"
"1782873" "protein_coding" "ARL11"
"1782887" "protein_coding" "EBPL"
"1782957" "protein_coding" "KPNA3"
"1783008" "lncRNA" "AL136301.1"
"1783011" "protein_coding" "SPRYD7"
"1783058" "lncRNA" "DLEU2"
"1783165" "protein_coding" "TRIM13"
"1783238" "protein_coding" "KCNRG"
"1783259" "lncRNA" "DLEU1"
"1783502" "lncRNA" "AL137060.3"
"1783505" "lncRNA" "AL158195.1"
"1783509" "protein_coding" "DLEU7"
"1783547" "lncRNA" "RNASEH2B-AS1"
"1783607" "protein_coding" "RNASEH2B"
"1784518" "protein_coding" "C13orf42"
"1784548" "lncRNA" "AL157817.1"
"1784551" "protein_coding" "FAM124A"
"1784595" "protein_coding" "SERPINE3"
"1784672" "protein_coding" "INTS6"
"1784988" "lncRNA" "INTS6-AS1"
"1785146" "protein_coding" "WDFY2"
"1785189" "protein_coding" "DHRS12"
"1785324" "lncRNA" "AL162377.1"
"1785330" "protein_coding" "TMEM272"
"1785370" "protein_coding" "CCDC70"
"1785380" "protein_coding" "ATP7B"
"1785820" "protein_coding" "ALG11"
"1785890" "protein_coding" "UTP14C"
"1785900" "protein_coding" "NEK5"
"1786157" "lncRNA" "AL139082.1"
"1786161" "protein_coding" "NEK3"
"1786404" "lncRNA" "LINC02333"
"1786417" "protein_coding" "THSD1"
"1786459" "protein_coding" "VPS36"
"1786586" "lncRNA" "AL359513.1"
"1786589" "protein_coding" "CKAP2"
"1786699" "lncRNA" "LINC00345"
"1786706" "protein_coding" "HNRNPA1L2"
"1786714" "lncRNA" "AL139089.1"
"1786717" "protein_coding" "SUGT1"
"1786795" "protein_coding" "CNMD"
"1786845" "protein_coding" "PCDH8"
"1786871" "protein_coding" "OLFM4"
"1786887" "lncRNA" "LINC01065"
"1786933" "lncRNA" "AL136359.1"
"1786937" "lncRNA" "AL356295.1"
"1786950" "lncRNA" "AL450423.2"
"1786954" "lncRNA" "AL450423.1"
"1786959" "lncRNA" "LINC00558"
"1786986" "lncRNA" "LINC00458"
"1787020" "lncRNA" "AL442636.1"
"1787029" "lncRNA" "AL512655.1"
"1787033" "lncRNA" "AL390964.1"
"1787331" "lncRNA" "LINC02335"
"1787336" "lncRNA" "AL354821.1"
"1787341" "lncRNA" "AL138997.1"
"1787345" "protein_coding" "PRR20A"
"1787357" "protein_coding" "PRR20C"
"1787380" "protein_coding" "PRR20B"
"1787392" "protein_coding" "PRR20D"
"1787404" "protein_coding" "PRR20E"
"1787416" "protein_coding" "PCDH17"
"1787463" "lncRNA" "AL445288.1"
"1787467" "lncRNA" "LINC02338"
"1787472" "lncRNA" "LINC00374"
"1787481" "lncRNA" "AL159156.1"
"1787488" "protein_coding" "DIAPH3"
"1787872" "lncRNA" "DIAPH3-AS1"
"1787891" "lncRNA" "DIAPH3-AS2"
"1787896" "lncRNA" "LINC00434"
"1787900" "protein_coding" "TDRD3"
"1788153" "lncRNA" "LINC00378"
"1788206" "lncRNA" "LINC01442"
"1788220" "protein_coding" "PCDH20"
"1788230" "lncRNA" "LINC02339"
"1788234" "lncRNA" "LINC00358"
"1788242" "lncRNA" "LINC01075"
"1788248" "lncRNA" "LINC01074"
"1788252" "lncRNA" "LINC00459"
"1788256" "lncRNA" "AL445668.1"
"1788261" "lncRNA" "LINC00448"
"1788311" "lncRNA" "AL354810.1"
"1788320" "lncRNA" "LINC00376"
"1788329" "lncRNA" "AL359208.1"
"1788343" "lncRNA" "LINC00395"
"1788354" "protein_coding" "AL445989.1"
"1788365" "lncRNA" "AL445238.2"
"1788369" "protein_coding" "AL445238.1"
"1788377" "lncRNA" "LINC00355"
"1788403" "lncRNA" "LINC01052"
"1788416" "lncRNA" "AL158038.1"
"1788420" "protein_coding" "PCDH9"
"1788487" "lncRNA" "PCDH9-AS1"
"1788491" "lncRNA" "PCDH9-AS2"
"1788502" "lncRNA" "PCDH9-AS3"
"1788507" "lncRNA" "PCDH9-AS4"
"1788512" "lncRNA" "AL160254.1"
"1788517" "lncRNA" "LINC00364"
"1788526" "lncRNA" "AL512452.1"
"1788533" "lncRNA" "AL590027.1"
"1788538" "lncRNA" "LINC00550"
"1788546" "lncRNA" "LINC02342"
"1788554" "lncRNA" "LINC00383"
"1788574" "protein_coding" "KLHL1"
"1788627" "lncRNA" "ATXN8OS"
"1788649" "lncRNA" "AL160391.1"
"1788652" "lncRNA" "LINC00348"
"1788765" "protein_coding" "DACH1"
"1788861" "protein_coding" "MZT1"
"1788873" "protein_coding" "BORA"
"1789087" "protein_coding" "DIS3"
"1789282" "protein_coding" "PIBF1"
"1789408" "protein_coding" "KLF5"
"1789444" "lncRNA" "LINC00393"
"1789495" "lncRNA" "LINC00392"
"1789508" "protein_coding" "KLF12"
"1789533" "lncRNA" "AL159972.1"
"1789536" "lncRNA" "LINC00402"
"1789540" "lncRNA" "AL353660.1"
"1789605" "lncRNA" "AL355390.1"
"1789609" "lncRNA" "LINC00381"
"1789622" "lncRNA" "LINC00347"
"1789652" "lncRNA" "LINC01078"
"1789656" "protein_coding" "TBC1D4"
"1789866" "lncRNA" "AL139230.1"
"1789871" "protein_coding" "COMMD6"
"1789975" "protein_coding" "UCHL3"
"1790053" "lncRNA" "LMO7-AS1"
"1790066" "protein_coding" "LMO7"
"1790703" "lncRNA" "AL137244.1"
"1790706" "lncRNA" "LMO7DN"
"1790712" "lncRNA" "LMO7DN-IT1"
"1790718" "lncRNA" "LINC00561"
"1790721" "lncRNA" "LINC01034"
"1790725" "lncRNA" "AL136441.1"
"1790736" "lncRNA" "AL161717.1"
"1790740" "lncRNA" "AL365394.1"
"1790746" "protein_coding" "KCTD12"
"1790754" "lncRNA" "AC000403.1"
"1790757" "protein_coding" "ACOD1"
"1790784" "protein_coding" "CLN5"
"1790984" "protein_coding" "FBXL3"
"1791026" "lncRNA" "MYCBP2-AS1"
"1791064" "lncRNA" "AC001226.1"
"1791067" "protein_coding" "MYCBP2"
"1791521" "lncRNA" "MYCBP2-AS2"
"1791525" "lncRNA" "AL159158.1"
"1791530" "protein_coding" "SCEL"
"1791792" "lncRNA" "AL137140.1"
"1791798" "lncRNA" "SCEL-AS1"
"1791808" "protein_coding" "SLAIN1"
"1792037" "lncRNA" "EDNRB-AS1"
"1792056" "protein_coding" "EDNRB"
"1792211" "lncRNA" "OBI1-AS1"
"1792288" "lncRNA" "AL139002.1"
"1792297" "lncRNA" "LINC01069"
"1792326" "lncRNA" "LINC00446"
"1792358" "lncRNA" "AL138957.1"
"1792362" "lncRNA" "AL445209.1"
"1792365" "protein_coding" "POU4F1"
"1792375" "protein_coding" "OBI1"
"1792393" "lncRNA" "LINC00331"
"1792454" "protein_coding" "RBM26"
"1792667" "lncRNA" "RBM26-AS1"
"1792717" "lncRNA" "NDFIP2-AS1"
"1792722" "protein_coding" "NDFIP2"
"1792852" "lncRNA" "LINC01068"
"1792863" "lncRNA" "AL136442.1"
"1792868" "lncRNA" "LINC01038"
"1792872" "lncRNA" "LINC00382"
"1792927" "lncRNA" "AL158064.1"
"1792987" "lncRNA" "LINC01080"
"1792991" "lncRNA" "AL137781.1"
"1792996" "protein_coding" "SPRY2"
"1793015" "lncRNA" "AL590807.1"
"1793042" "lncRNA" "LINC00377"
"1793051" "lncRNA" "LINC00564"
"1793054" "lncRNA" "AL353633.1"
"1793062" "lncRNA" "AL445255.1"
"1793067" "lncRNA" "AL353688.1"
"1793072" "protein_coding" "SLITRK1"
"1793080" "lncRNA" "AL355481.1"
"1793096" "lncRNA" "AL590681.1"
"1793100" "lncRNA" "AL445604.1"
"1793105" "lncRNA" "AL162493.1"
"1793116" "lncRNA" "LINC00333"
"1793121" "lncRNA" "AL445588.1"
"1793132" "lncRNA" "AL356313.1"
"1793137" "lncRNA" "LINC00375"
"1793144" "lncRNA" "AL160154.1"
"1793148" "lncRNA" "LINC00351"
"1793158" "lncRNA" "AL356413.1"
"1793164" "protein_coding" "SLITRK6"
"1793188" "lncRNA" "AL354994.1"
"1793193" "lncRNA" "AL445207.1"
"1793197" "lncRNA" "LINC00430"
"1793206" "lncRNA" "AL360267.2"
"1793210" "lncRNA" "AL360267.1"
"1793216" "lncRNA" "MIR4500HG"
"1793299" "lncRNA" "AL355578.1"
"1793302" "protein_coding" "SLITRK5"
"1793312" "lncRNA" "LINC00397"
"1793320" "lncRNA" "AL445647.1"
"1793323" "lncRNA" "LINC00373"
"1793330" "lncRNA" "AL355677.1"
"1793334" "lncRNA" "LINC00433"
"1793355" "lncRNA" "AL445242.1"
"1793363" "lncRNA" "LINC00560"
"1793367" "lncRNA" "LINC00440"
"1793376" "lncRNA" "LINC01047"
"1793388" "lncRNA" "LINC02336"
"1793404" "lncRNA" "LINC01040"
"1793408" "lncRNA" "LINC00353"
"1793413" "lncRNA" "LINC00559"
"1793449" "lncRNA" "LINC01049"
"1793457" "lncRNA" "LINC00410"
"1793465" "lncRNA" "LINC00380"
"1793469" "lncRNA" "LINC00379"
"1793477" "lncRNA" "MIR17HG"
"1793496" "protein_coding" "GPC5"
"1793537" "lncRNA" "AL162456.1"
"1793540" "lncRNA" "GPC5-AS2"
"1793549" "lncRNA" "GPC5-IT1"
"1793553" "lncRNA" "AL356737.2"
"1793558" "lncRNA" "GPC5-AS1"
"1793569" "lncRNA" "LINC00363"
"1793578" "lncRNA" "AL354811.2"
"1793583" "lncRNA" "AL354811.1"
"1793586" "protein_coding" "GPC6"
"1793623" "lncRNA" "AL160159.1"
